T3 교통량,T5 교통량,T4
5614,5645,31
504,587,83
5201,5163,-38
347,389,42
5070,5317,247
289,295,6
4922,5119,197
313,293,-20
4969,5185,216
291,284,-7
4888,4943,55
235,220,-15
4968,4982,14
244,227,-17
4409,4268,-141
235,213,-22
4786,4691,-95
219,218,-1
4689,4619,-70
256,236,-20
4521,4391,-130
210,246,36
4369,3382,-987
262,276,14
3996,2817,-1179
286,269,-17
3585,2814,-771
187,197,10
3419,2892,-527
2562,2319,-243
1951,1776,-175
1543,1467,-76
1096,1105,9
808,856,48
772,816,44
1232,1260,28
2939,2786,-153
5419,4793,-626
5480,5386,-94
485,555,70
4945,5075,130
380,374,-6
5046,5207,161
303,289,-14
4916,5316,400
318,289,-29
4834,5108,274
263,281,18
4878,4995,117
267,254,-13
4902,4980,78
279,264,-15
4901,5015,114
295,259,-36
5012,5107,95
305,289,-16
4999,5042,43
330,336,6
4794,4840,46
303,335,32
4876,4184,-692
341,362,21
4592,3634,-958
368,389,21
4322,3499,-823
375,374,-1
4714,4104,-610
3505,3239,-266
2843,2569,-274
1980,1889,-91
1446,1435,-11
1087,1102,15
1096,1097,1
1608,1655,47
3561,3349,-212
5405,5280,-125
5145,4703,-442
771,794,23
4886,4982,96
569,625,56
4833,4404,-429
476,528,52
4525,4533,8
389,445,56
4791,4691,-100
373,358,-15
4936,4901,-35
371,360,-11
4882,4772,-110
368,337,-31
5229,5068,-161
378,336,-42
4758,4617,-141
405,349,-56
5279,4914,-365
402,357,-45
5002,4602,-400
382,342,-40
4810,3942,-868
374,319,-55
4348,3499,-849
300,287,-13
3884,3081,-803
263,247,-16
3951,3244,-707
3066,2676,-390
2116,1872,-244
1503,1288,-215
986,932,-54
662,661,-1
693,682,-11
832,864,32
1980,1892,-88
3144,3070,-74
3606,3536,-70
397,393,-4
3870,3892,22
302,290,-12
4371,4517,146
273,278,5
4703,4871,168
265,260,-5
4987,4758,-229
263,220,-43
4763,4420,-343
235,212,-23
5037,4545,-492
277,230,-47
5055,4754,-301
325,277,-48
4961,4686,-275
377,318,-59
5199,4685,-514
347,322,-25
5062,4654,-408
350,282,-68
4727,3977,-750
330,337,7
4683,3989,-694
354,354,0
4810,4068,-742
325,278,-47
5441,4666,-775
4584,3973,-611
2831,2621,-210
1692,1661,-31
1044,1051,7
764,789,25
954,1002,48
2039,2039,0
4952,4587,-365
6666,6339,-327
5550,5506,-44
565,693,128
5098,5263,165
429,508,79
5015,5275,260
321,322,1
5048,5415,367
267,257,-10
4891,5047,156
258,247,-11
4640,4556,-84
228,235,7
4767,4505,-262
223,217,-6
4736,4638,-98
277,251,-26
4731,4685,-46
212,201,-11
4709,4648,-61
238,228,-10
4454,4290,-164
221,241,20
4378,3469,-909
252,250,-2
3877,2823,-1054
256,272,16
3498,2745,-753
199,210,11
3114,2768,-346
2390,2184,-206
1809,1760,-49
1315,1298,-17
966,1026,60
765,841,76
737,829,92
1191,1249,58
2939,2785,-154
5506,4946,-560
5639,5558,-81
472,540,68
5213,4921,-292
336,339,3
4727,4837,110
300,287,-13
5073,5459,386
279,250,-29
4887,4952,65
291,294,3
4682,4641,-41
246,242,-4
4619,4510,-109
242,224,-18
4423,4455,32
211,204,-7
4703,4622,-81
231,208,-23
4686,4588,-98
263,241,-22
4599,4541,-58
243,256,13
4420,3507,-913
250,255,5
3908,2827,-1081
251,267,16
3519,2677,-842
194,194,0
3250,2821,-429
2450,2254,-196
1899,1768,-131
1356,1294,-62
1024,1053,29
833,890,57
756,816,60
1155,1212,57
2917,2642,-275
5264,4666,-598
5515,5369,-146
459,528,69
5249,5082,-167
357,385,28
5137,5337,200
311,276,-35
5051,5461,410
276,257,-19
4945,5082,137
248,231,-17
4916,4958,42
266,237,-29
4900,4778,-122
252,234,-18
4624,4697,73
232,217,-15
4638,4497,-141
256,222,-34
4661,4573,-88
242,226,-16
4549,4587,38
217,254,37
4298,3373,-925
228,233,5
3962,2699,-1263
262,268,6
3455,2693,-762
213,212,-1
3293,2838,-455
2726,2365,-361
2205,1963,-242
1497,1425,-72
1111,1073,-38
774,822,48
790,826,36
1119,1185,66
3026,2759,-267
5377,4888,-489
5521,5477,-44
513,568,55
5083,5226,143
367,377,10
5204,5437,233
309,301,-8
5094,5402,308
341,296,-45
4877,5236,359
287,315,28
4904,5128,224
255,266,11
4983,4880,-103
258,229,-29
4852,4879,27
263,222,-41
4744,4529,-215
220,209,-11
4642,4541,-101
232,246,14
4622,4291,-331
245,281,36
4500,3523,-977
252,268,16
4107,2900,-1207
268,276,8
3550,2799,-751
213,218,5
3347,2847,-500
2750,2442,-308
2280,2088,-192
1535,1460,-75
1058,1101,43
846,888,42
763,815,52
1230,1294,64
3056,2856,-200
5461,4914,-547
5408,5408,0
510,570,60
5150,5111,-39
348,358,10
5095,5205,110
324,304,-20
3790,3625,-165
350,298,-52
4796,5094,298
302,290,-12
4472,4591,119
308,267,-41
4700,4717,17
313,329,16
4808,4256,-552
303,322,19
4897,5134,237
320,322,2
4940,5151,211
318,351,33
4948,5280,332
330,385,55
4974,4139,-835
302,337,35
4782,3540,-1242
416,409,-7
4641,3705,-936
388,387,-1
4921,4291,-630
4085,3697,-388
3102,2810,-292
2240,2094,-146
1519,1463,-56
1110,1146,36
1076,1086,10
1754,1737,-17
3652,3495,-157
5620,5431,-189
5223,5037,-186
729,784,55
4828,3886,-942
594,659,65
4736,4294,-442
563,619,56
4537,4282,-255
483,522,39
4522,4214,-308
394,459,65
4887,4700,-187
355,387,32
4734,4321,-413
353,326,-27
4915,4880,-35
369,334,-35
4952,4662,-290
397,353,-44
4891,4708,-183
393,347,-46
5005,4687,-318
377,354,-23
4748,3879,-869
375,357,-18
4353,3594,-759
352,338,-14
4015,3284,-731
269,261,-8
4049,3430,-619
3321,2821,-500
2261,2005,-256
1512,1346,-166
1039,983,-56
723,694,-29
696,684,-12
861,879,18
2086,2058,-28
3220,3164,-56
3561,3415,-146
372,368,-4
3937,3886,-51
273,274,1
4449,4431,-18
265,278,13
4986,4823,-163
273,256,-17
4806,4708,-98
241,231,-10
4632,4302,-330
227,213,-14
4865,4420,-445
264,252,-12
4849,4633,-216
290,273,-17
4700,4567,-133
326,289,-37
4986,4661,-325
402,359,-43
4726,4202,-524
324,304,-20
4538,3728,-810
351,333,-18
4573,3770,-803
364,366,2
4628,3771,-857
356,304,-52
5363,4628,-735
4730,3958,-772
2797,2663,-134
1129,1134,5
780,845,65
951,997,46
2077,2042,-35
5014,4507,-507
6630,6297,-333
5497,5339,-158
608,743,135
5013,5091,78
403,485,82
5122,5270,148
321,302,-19
4975,5328,353
334,300,-34
4905,5011,106
251,276,25
4491,4674,183
223,207,-16
4792,4703,-89
251,237,-14
4906,4772,-134
227,201,-26
4535,4349,-186
234,222,-12
4503,4362,-141
257,242,-15
4373,4216,-157
194,237,43
4312,3307,-1005
237,242,5
4020,2781,-1239
244,245,1
3443,2694,-749
201,206,5
3236,2782,-454
2472,2235,-237
1883,1697,-186
1643,1553,-90
1334,1300,-34
938,1031,93
801,853,52
738,773,35
1188,1235,47
3024,2761,-263
5391,4753,-638
5416,5423,7
515,568,53
5168,5031,-137
305,336,31
4993,5211,218
295,286,-9
5030,5089,59
276,298,22
4670,4729,59
258,344,86
4597,4634,37
255,280,25
4746,4673,-73
240,211,-29
4521,4578,57
229,212,-17
4392,4163,-229
219,200,-19
4442,4354,-88
230,227,-3
4280,4159,-121
215,229,14
4296,3224,-1072
235,243,8
3998,2727,-1271
246,252,6
3248,2564,-684
207,221,14
3173,2700,-473
2426,2293,-133
1843,1825,-18
1320,1263,-57
931,974,43
771,825,54
739,808,69
1039,1081,42
2661,2286,-375
5073,4252,-821
5250,5331,81
475,525,50
5036,4937,-99
298,329,31
5015,5189,174
260,248,-12
4845,5055,210
271,232,-39
4947,5016,69
238,247,9
4783,4856,73
199,208,9
4467,4255,-212
228,207,-21
4536,4439,-97
223,194,-29
4281,4220,-61
211,219,8
4084,3948,-136
224,213,-11
4136,3894,-242
237,258,21
4254,3087,-1167
240,245,5
3830,2486,-1344
270,256,-14
3308,2406,-902
173,199,26
2895,2549,-346
2456,2190,-266
1829,1732,-97
1339,1334,-5
984,1057,73
702,780,78
629,695,66
879,955,76
2079,1958,-121
