교통량,평균속도,0010CZS420
409,99.83,
3705,79.76,
387,100.62,
4291,82.93,
3697,85.08,
2810,89.52,
2094,92.08,
1463,91.31,
1146,92.21,
1086,91.68,
1737,91.72,
3495,87.32,
5431,79.32,
5037,43.55,
784,82.99,
3886,26.6,
659,81.66,
4294,27.51,
619,84.72,
4282,31.44,
522,88.44,
4214,31.62,
459,91.03,
4700,36.13,
387,93.99,
4321,74.7,
326,102.16,
4880,79.68,
334,101.58,
4662,79.98,
353,101.74,
4708,78.36,
347,101.83,
4687,75.86,
354,99.92,
3879,77.72,
357,100.48,
3594,79.28,
338,100.86,
3284,80.3,
261,100.72,
3430,84.85,
2821,88.11,
2005,89.89,
1346,91.3,
983,92.35,
694,90.93,
684,93.22,
879,93.25,
2058,91.46,
3164,87.78,
3415,82.49,
368,102.03,
3886,80.89,
274,102.39,
4431,82.19,
278,103.35,
4823,80.2,
256,102.03,
4708,78.41,
231,103.77,
4302,82.31,
213,104.67,
4420,81.89,
252,103.74,
4633,79.73,
273,103.65,
4567,80.56,
289,102.74,
4661,79.66,
359,101.6,
4202,79.54,
304,101.69,
3728,79.16,
333,100.03,
3770,80.35,
366,101.3,
3771,79.04,
304,102.15,
4628,83.36,
3958,85.18,
2663,90.05,
1553,91.57,
1134,90.65,
845,89.95,
997,91.01,
2042,91.92,
4507,84.92,
6297,77.06,
5339,41.86,
743,85.73,
5091,38.66,
485,91.22,
5270,73.49,
302,99.44,
5328,69.31,
300,98.79,
5011,52.78,
276,96.53,
4674,64.81,
207,100.35,
4703,77.89,
237,103.83,
4772,71.49,
201,103.5,
4349,81.28,
222,104.42,
4362,80.94,
242,103.62,
4216,79.84,
237,103.06,
3307,80.7,
242,101.89,
2781,84.6,
245,105.02,
2694,85.26,
206,105.74,
2782,88.49,
2235,90.62,
1697,89.45,
1300,89.22,
1031,86.87,
853,88.68,
773,88.37,
1235,89.86,
2761,90,
4753,82.09,
5423,75.2,
568,98.47,
5031,79.35,
336,102.45,
5211,74.62,
286,100.04,
5089,43.16,
298,93.6,
4729,42.59,
344,77.9,
4634,56.45,
280,86.89,
4673,77.67,
211,101.9,
4578,78.88,
212,104.13,
4163,80.18,
200,102.98,
4354,80.07,
227,102.07,
4159,78.76,
229,101.23,
3224,81.38,
243,103.72,
2727,84.33,
252,104.79,
2564,84.43,
221,103.92,
2700,88.28,
2293,85.66,
1825,84.16,
1263,82.49,
974,82.81,
825,84.03,
808,83.41,
1081,85.3,
2286,85.89,
4252,80.78,
5331,75.85,
525,99.04,
4937,78.5,
329,101.88,
5189,74.7,
248,100.85,
5055,75.31,
232,100.79,
5016,73.38,
247,101.73,
4856,74,
208,101.82,
4255,79.61,
207,104.42,
4439,78.47,
194,102.68,
4220,77.29,
219,102.84,
3948,77.43,
213,103.23,
3894,73.6,
258,97.92,
3087,76.63,
245,97.87,
2486,77.11,
256,101.63,
2406,77.21,
199,101.16,
2549,82.57,
2190,85.25,
1732,86.36,
1334,84.15,
1057,81.27,
780,78.87,
695,80.79,
955,82.14,
1958,84.13,
3834,78.57,
4432,63.4,
543,86.49,
3254,24.35,
425,76.22,
3226,25.96,
352,80.93,
4273,52.84,
286,94.24,
4521,70.75,
254,100.33,
4553,65.78,
252,99.21,
4379,71.64,
236,100.77,
4330,77.63,
237,103.47,
4430,77.96,
226,102.94,
4428,78.1,
253,103.08,
4092,79.88,
228,100.24,
3338,82.77,
272,102.35,
2856,84.02,
250,102.3,
2456,85.81,
204,100.77,
2575,89.4,
2207,91.02,
1678,91.38,
